训练开始时间: Thu Aug 28 02:44:37 UTC 2025
Wandb离线模式已启用，日志将保存在: wandb_offline_logs/fragldm_base_20250828_024437
wandb: WARNING Path wandb_offline_logs/fragldm_base_20250828_024437/wandb/ wasn't writable, using system temp directory.
wandb: Using wandb-core as the SDK backend.  Please refer to https://wandb.me/wandb-core for more information.
wandb: Tracking run with wandb version 0.19.7
wandb: W&B syncing is set to `offline` in this directory.  
wandb: Run `wandb online` or set WANDB_MODE=online to enable cloud syncing.
wandb: WARNING Symlinked 3 files into the W&B run directory, call wandb.save again to sync new files.
Entropy of n_nodes: H[N] -2.475700616836548
Autoencoder models are _not_ conditioned on time.
alphas2 [9.99990000e-01 9.99988000e-01 9.99982000e-01 ... 2.59676966e-05
 1.39959211e-05 1.00039959e-05]
gamma [-11.51291546 -11.33059532 -10.92513058 ...  10.55863126  11.17673063
  11.51251595]

==================================================
训练配置:
- 模型: egnn_dynamics
- 数据集: qm9
- 条件: 无
- 部分条件化: 已启用
  - 噪声比例: 0.8
  - 掩码策略: connected
==================================================

Epoch: 0, iter: 35/12500, Loss 3.70, NLL: 3.70, RegTerm: 0.0, GradNorm: 8.8 | Cond: 0.23, Noise: 0.77
Epoch: 0, iter: 36/12500, Loss 3.65, NLL: 3.65, RegTerm: 0.0, GradNorm: 14.7 | Cond: 0.23, Noise: 0.77
Epoch: 0, iter: 37/12500, Loss 3.46, NLL: 3.46, RegTerm: 0.0, GradNorm: 13.6 | Cond: 0.21, Noise: 0.79
Epoch: 0, iter: 38/12500, Loss 3.31, NLL: 3.31, RegTerm: 0.0, GradNorm: 6.6 | Cond: 0.23, Noise: 0.77
Epoch: 0, iter: 39/12500, Loss 2.99, NLL: 2.99, RegTerm: 0.0, GradNorm: 8.4 | Cond: 0.24, Noise: 0.76
Epoch: 0, iter: 40/12500, Loss 3.14, NLL: 3.14, RegTerm: 0.0, GradNorm: 6.8 | Cond: 0.22, Noise: 0.78
Epoch: 0, iter: 41/12500, Loss 3.34, NLL: 3.34, RegTerm: 0.0, GradNorm: 9.6 | Cond: 0.22, Noise: 0.78
Epoch: 0, iter: 42/12500, Loss 3.05, NLL: 3.05, RegTerm: 0.0, GradNorm: 11.1 | Cond: 0.22, Noise: 0.78
Epoch: 0, iter: 43/12500, Loss 3.36, NLL: 3.36, RegTerm: 0.0, GradNorm: 10.0 | Cond: 0.23, Noise: 0.77
Epoch: 0, iter: 44/12500, Loss 2.97, NLL: 2.97, RegTerm: 0.0, GradNorm: 5.2 | Cond: 0.22, Noise: 0.78
Epoch: 0, iter: 45/12500, Loss 3.04, NLL: 3.04, RegTerm: 0.0, GradNorm: 14.1 | Cond: 0.23, Noise: 0.77
Epoch: 0, iter: 46/12500, Loss 3.13, NLL: 3.13, RegTerm: 0.0, GradNorm: 9.7 | Cond: 0.22, Noise: 0.78
Epoch: 0, iter: 47/12500, Loss 2.94, NLL: 2.94, RegTerm: 0.0, GradNorm: 4.8 | Cond: 0.22, Noise: 0.78
Epoch: 0, iter: 48/12500, Loss 2.86, NLL: 2.86, RegTerm: 0.0, GradNorm: 5.4 | Cond: 0.23, Noise: 0.77
Epoch: 0, iter: 49/12500, Loss 3.24, NLL: 3.24, RegTerm: 0.0, GradNorm: 7.7 | Cond: 0.21, Noise: 0.79
Epoch: 0, iter: 50/12500, Loss 2.75, NLL: 2.75, RegTerm: 0.0, GradNorm: 7.5 | Cond: 0.23, Noise: 0.77
Epoch: 0, iter: 51/12500, Loss 3.10, NLL: 3.10, RegTerm: 0.0, GradNorm: 12.6 | Cond: 0.22, Noise: 0.78
Epoch: 0, iter: 52/12500, Loss 2.81, NLL: 2.81, RegTerm: 0.0, GradNorm: 8.9 | Cond: 0.21, Noise: 0.79
Epoch: 0, iter: 53/12500, Loss 3.35, NLL: 3.35, RegTerm: 0.0, GradNorm: 3.8 | Cond: 0.21, Noise: 0.79
Epoch: 0, iter: 54/12500, Loss 2.70, NLL: 2.70, RegTerm: 0.0, GradNorm: 7.8 | Cond: 0.22, Noise: 0.78
Epoch: 0, iter: 55/12500, Loss 3.60, NLL: 3.60, RegTerm: 0.0, GradNorm: 4.6 | Cond: 0.24, Noise: 0.76
